0:0:0:0:0:0:0:1 - - [26/May/2021:01:47:21 +0900] "GET /MentoringProject/images/home3.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:47:21 +0900] "GET /MentoringProject/images/home4.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:47:23 +0900] "GET /MentoringProject/userLoginPage.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [26/May/2021:01:47:23 +0900] "GET /MentoringProject/css/components/loginPage.css HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [26/May/2021:01:47:30 +0900] "POST /MentoringProject/userLoginPage.do HTTP/1.1" 200 17483
0:0:0:0:0:0:0:1 - - [26/May/2021:01:47:30 +0900] "GET /MentoringProject/images/home1.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:47:30 +0900] "GET /MentoringProject/images/home2.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:47:30 +0900] "GET /MentoringProject/images/home3.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:47:30 +0900] "GET /MentoringProject/images/home4.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:47:47 +0900] "GET /MentoringProject/menteeBookingList.do?booking=wait HTTP/1.1" 200 6936
0:0:0:0:0:0:0:1 - - [26/May/2021:01:47:47 +0900] "GET /MentoringProject/css/subpage.css HTTP/1.1" 200 9819
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:16 +0900] "GET /MentoringProject/menteeBookingList.do?booking=wait HTTP/1.1" 200 6936
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:19 +0900] "GET /MentoringProject/userMyPage.html HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:21 +0900] "GET /MentoringProject/userMyPage.html HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:26 +0900] "GET /MentoringProject/userBeMentorPage.html HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:28 +0900] "GET /MentoringProject/home.html HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:32 +0900] "GET /MentoringProject/menteeBookingCancel.do?paymentpk=62612 HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:32 +0900] "GET /MentoringProject/menteeBookingCancel.do?paymentpk=90168 HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:38 +0900] "GET /MentoringProject/logout.do HTTP/1.1" 200 17688
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:38 +0900] "GET /MentoringProject/images/home1.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:38 +0900] "GET /MentoringProject/images/home2.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:38 +0900] "GET /MentoringProject/images/home3.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:38 +0900] "GET /MentoringProject/images/home4.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:39 +0900] "GET /MentoringProject/userLoginPage.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:44 +0900] "POST /MentoringProject/userLoginPage.do HTTP/1.1" 200 17483
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:44 +0900] "GET /MentoringProject/images/home1.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:44 +0900] "GET /MentoringProject/images/home2.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:44 +0900] "GET /MentoringProject/images/home3.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:44 +0900] "GET /MentoringProject/images/home4.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/May/2021:01:48:46 +0900] "GET /MentoringProject/menteeMyPageOpen.do HTTP/1.1" 200 6520
